label,period_start,period_label,year,quarter,trend_mean,trend_max,trend_min,trend_sum,n_points
dress,2020-01-01,2020Q1,2020,1,31.0,34.5,24.0,93.0,3
dress,2020-04-01,2020Q2,2020,2,24.0,26.0,21.0,72.0,3
dress,2020-07-01,2020Q3,2020,3,29.5,30.5,28.5,88.5,3
dress,2020-10-01,2020Q4,2020,4,29.5,30.0,28.5,88.5,3
dress,2021-01-01,2021Q1,2021,1,29.0,30.5,27.5,87.0,3
dress,2021-04-01,2021Q2,2021,2,33.166666666666664,34.5,32.0,99.5,3
dress,2021-07-01,2021Q3,2021,3,36.666666666666664,38.5,35.5,110.0,3
dress,2021-10-01,2021Q4,2021,4,37.666666666666664,41.5,35.0,113.0,3
dress,2022-01-01,2022Q1,2022,1,37.833333333333336,41.0,34.5,113.5,3
dress,2022-04-01,2022Q2,2022,2,42.0,43.5,40.0,126.0,3
dress,2022-07-01,2022Q3,2022,3,39.333333333333336,40.0,39.0,118.0,3
dress,2022-10-01,2022Q4,2022,4,38.5,41.0,35.5,115.5,3
dress,2023-01-01,2023Q1,2023,1,37.0,39.0,36.0,111.0,3
dress,2023-04-01,2023Q2,2023,2,39.5,40.5,38.5,118.5,3
dress,2023-07-01,2023Q3,2023,3,37.5,38.0,37.0,112.5,3
dress,2023-10-01,2023Q4,2023,4,36.5,38.0,35.5,109.5,3
dress,2024-01-01,2024Q1,2024,1,36.666666666666664,39.5,35.0,110.0,3
dress,2024-04-01,2024Q2,2024,2,40.166666666666664,41.0,39.0,120.5,3
dress,2024-07-01,2024Q3,2024,3,42.166666666666664,43.5,40.0,126.5,3
dress,2024-10-01,2024Q4,2024,4,40.833333333333336,43.5,39.5,122.5,3
dress,2025-01-01,2025Q1,2025,1,40.666666666666664,41.5,39.5,122.0,3
dress,2025-04-01,2025Q2,2025,2,43.5,44.5,42.5,130.5,3
dress,2025-07-01,2025Q3,2025,3,44.833333333333336,46.5,42.0,134.5,3
dress,2025-10-01,2025Q4,2025,4,42.0,42.0,42.0,42.0,1
suit,2020-01-01,2020Q1,2020,1,76.66666666666667,80.0,72.0,230.0,3
suit,2020-04-01,2020Q2,2020,2,62.333333333333336,64.0,59.0,187.0,3
suit,2020-07-01,2020Q3,2020,3,69.0,72.0,67.0,207.0,3
suit,2020-10-01,2020Q4,2020,4,71.33333333333333,75.0,68.0,214.0,3
suit,2021-01-01,2021Q1,2021,1,70.33333333333333,74.0,68.0,211.0,3
suit,2021-04-01,2021Q2,2021,2,72.33333333333333,73.0,72.0,217.0,3
suit,2021-07-01,2021Q3,2021,3,75.33333333333333,78.0,73.0,226.0,3
suit,2021-10-01,2021Q4,2021,4,83.33333333333333,89.0,80.0,250.0,3
suit,2022-01-01,2022Q1,2022,1,87.66666666666667,92.0,83.0,263.0,3
suit,2022-04-01,2022Q2,2022,2,91.0,96.0,87.0,273.0,3
suit,2022-07-01,2022Q3,2022,3,83.33333333333333,88.0,80.0,250.0,3
suit,2022-10-01,2022Q4,2022,4,86.0,92.0,82.0,258.0,3
suit,2023-01-01,2023Q1,2023,1,84.33333333333333,87.0,80.0,253.0,3
suit,2023-04-01,2023Q2,2023,2,87.33333333333333,90.0,85.0,262.0,3
suit,2023-07-01,2023Q3,2023,3,79.33333333333333,81.0,77.0,238.0,3
suit,2023-10-01,2023Q4,2023,4,87.66666666666667,89.0,87.0,263.0,3
suit,2024-01-01,2024Q1,2024,1,85.66666666666667,88.0,82.0,257.0,3
suit,2024-04-01,2024Q2,2024,2,82.33333333333333,84.0,81.0,247.0,3
suit,2024-07-01,2024Q3,2024,3,80.33333333333333,82.0,79.0,241.0,3
suit,2024-10-01,2024Q4,2024,4,87.0,88.0,86.0,261.0,3
suit,2025-01-01,2025Q1,2025,1,91.66666666666667,94.0,90.0,275.0,3
suit,2025-04-01,2025Q2,2025,2,89.66666666666667,91.0,87.0,269.0,3
suit,2025-07-01,2025Q3,2025,3,93.33333333333333,100.0,88.0,280.0,3
suit,2025-10-01,2025Q4,2025,4,96.0,96.0,96.0,96.0,1
blazer,2020-01-01,2020Q1,2020,1,60.0,69.0,46.0,180.0,3
blazer,2020-04-01,2020Q2,2020,2,41.666666666666664,47.0,36.0,125.0,3
blazer,2020-07-01,2020Q3,2020,3,55.0,56.0,53.0,165.0,3
blazer,2020-10-01,2020Q4,2020,4,63.666666666666664,64.0,63.0,191.0,3
blazer,2021-01-01,2021Q1,2021,1,63.666666666666664,66.0,62.0,191.0,3
blazer,2021-04-01,2021Q2,2021,2,66.33333333333333,71.0,62.0,199.0,3
blazer,2021-07-01,2021Q3,2021,3,71.33333333333333,75.0,66.0,214.0,3
blazer,2021-10-01,2021Q4,2021,4,89.0,93.0,83.0,267.0,3
blazer,2022-01-01,2022Q1,2022,1,89.0,93.0,83.0,267.0,3
blazer,2022-04-01,2022Q2,2022,2,92.33333333333333,100.0,84.0,277.0,3
blazer,2022-07-01,2022Q3,2022,3,83.33333333333333,89.0,77.0,250.0,3
blazer,2022-10-01,2022Q4,2022,4,92.0,95.0,90.0,276.0,3
