label,period_start,period_label,year,quarter,trend_mean,trend_max,trend_min,trend_sum,n_points
coat,2020-01-01,2020Q1,2020,1,10.0,16.0,5.0,30.0,3
coat,2020-04-01,2020Q2,2020,2,4.333333333333333,5.0,4.0,13.0,3
coat,2020-07-01,2020Q3,2020,3,7.0,10.0,5.0,21.0,3
coat,2020-10-01,2020Q4,2020,4,14.333333333333334,15.0,14.0,43.0,3
coat,2021-01-01,2021Q1,2021,1,9.333333333333334,13.0,6.0,28.0,3
coat,2021-04-01,2021Q2,2021,2,5.0,6.0,4.0,15.0,3
coat,2021-07-01,2021Q3,2021,3,7.0,9.0,5.0,21.0,3
coat,2021-10-01,2021Q4,2021,4,14.666666666666666,17.0,13.0,44.0,3
coat,2022-01-01,2022Q1,2022,1,8.666666666666666,11.0,7.0,26.0,3
coat,2022-04-01,2022Q2,2022,2,5.333333333333333,6.0,5.0,16.0,3
coat,2022-07-01,2022Q3,2022,3,6.0,9.0,4.0,18.0,3
coat,2022-10-01,2022Q4,2022,4,12.666666666666666,15.0,10.0,38.0,3
coat,2023-01-01,2023Q1,2023,1,7.666666666666667,10.0,6.0,23.0,3
coat,2023-04-01,2023Q2,2023,2,5.0,5.0,5.0,15.0,3
coat,2023-07-01,2023Q3,2023,3,5.0,6.0,4.0,15.0,3
coat,2023-10-01,2023Q4,2023,4,12.666666666666666,16.0,10.0,38.0,3
coat,2024-01-01,2024Q1,2024,1,7.666666666666667,12.0,5.0,23.0,3
coat,2024-04-01,2024Q2,2024,2,5.0,5.0,5.0,15.0,3
coat,2024-07-01,2024Q3,2024,3,6.0,9.0,4.0,18.0,3
coat,2024-10-01,2024Q4,2024,4,12.333333333333334,14.0,10.0,37.0,3
coat,2025-01-01,2025Q1,2025,1,8.333333333333334,12.0,6.0,25.0,3
coat,2025-04-01,2025Q2,2025,2,5.0,5.0,5.0,15.0,3
coat,2025-07-01,2025Q3,2025,3,7.0,9.0,5.0,21.0,3
coat,2025-10-01,2025Q4,2025,4,11.0,11.0,11.0,11.0,1
boots,2020-01-01,2020Q1,2020,1,0.0,0.0,0.0,0.0,3
boots,2020-04-01,2020Q2,2020,2,0.0,0.0,0.0,0.0,3
boots,2020-07-01,2020Q3,2020,3,0.0,0.0,0.0,0.0,3
boots,2020-10-01,2020Q4,2020,4,1.0,1.0,1.0,3.0,3
boots,2021-01-01,2021Q1,2021,1,0.0,0.0,0.0,0.0,3
boots,2021-04-01,2021Q2,2021,2,0.0,0.0,0.0,0.0,3
boots,2021-07-01,2021Q3,2021,3,0.0,0.0,0.0,0.0,3
boots,2021-10-01,2021Q4,2021,4,0.6666666666666666,1.0,0.0,2.0,3
boots,2022-01-01,2022Q1,2022,1,0.0,0.0,0.0,0.0,3
boots,2022-04-01,2022Q2,2022,2,0.0,0.0,0.0,0.0,3
boots,2022-07-01,2022Q3,2022,3,0.0,0.0,0.0,0.0,3
boots,2022-10-01,2022Q4,2022,4,0.0,0.0,0.0,0.0,3
boots,2023-01-01,2023Q1,2023,1,0.0,0.0,0.0,0.0,3
boots,2023-04-01,2023Q2,2023,2,0.0,0.0,0.0,0.0,3
boots,2023-07-01,2023Q3,2023,3,0.0,0.0,0.0,0.0,3
boots,2023-10-01,2023Q4,2023,4,0.0,0.0,0.0,0.0,3
boots,2024-01-01,2024Q1,2024,1,0.0,0.0,0.0,0.0,3
boots,2024-04-01,2024Q2,2024,2,0.0,0.0,0.0,0.0,3
boots,2024-07-01,2024Q3,2024,3,0.0,0.0,0.0,0.0,3
boots,2024-10-01,2024Q4,2024,4,0.6666666666666666,1.0,0.0,2.0,3
boots,2025-01-01,2025Q1,2025,1,0.0,0.0,0.0,0.0,3
boots,2025-04-01,2025Q2,2025,2,0.0,0.0,0.0,0.0,3
boots,2025-07-01,2025Q3,2025,3,0.3333333333333333,1.0,0.0,1.0,3
boots,2025-10-01,2025Q4,2025,4,1.0,1.0,1.0,1.0,1
sneakers,2020-01-01,2020Q1,2020,1,28.5,29.5,26.5,85.5,3
sneakers,2020-04-01,2020Q2,2020,2,29.0,31.5,25.5,87.0,3
sneakers,2020-07-01,2020Q3,2020,3,33.166666666666664,35.5,30.5,99.5,3
sneakers,2020-10-01,2020Q4,2020,4,35.833333333333336,41.0,31.5,107.5,3
sneakers,2021-01-01,2021Q1,2021,1,31.833333333333332,33.5,30.5,95.5,3
sneakers,2021-04-01,2021Q2,2021,2,31.166666666666668,33.5,28.5,93.5,3
sneakers,2021-07-01,2021Q3,2021,3,36.833333333333336,40.5,34.5,110.5,3
sneakers,2021-10-01,2021Q4,2021,4,40.833333333333336,46.5,34.0,122.5,3
sneakers,2022-01-01,2022Q1,2022,1,36.5,37.5,35.5,109.5,3
sneakers,2022-04-01,2022Q2,2022,2,34.333333333333336,37.0,32.0,103.0,3
sneakers,2022-07-01,2022Q3,2022,3,34.833333333333336,37.5,33.0,104.5,3
sneakers,2022-10-01,2022Q4,2022,4,35.0,39.0,31.0,105.0,3
sneakers,2023-01-01,2023Q1,2023,1,32.833333333333336,33.5,32.5,98.5,3
sneakers,2023-04-01,2023Q2,2023,2,29.666666666666668,32.5,27.5,89.0,3
sneakers,2023-07-01,2023Q3,2023,3,30.166666666666668,32.5,27.5,90.5,3
sneakers,2023-10-01,2023Q4,2023,4,30.333333333333332,33.0,26.0,91.0,3
sneakers,2024-01-01,2024Q1,2024,1,24.166666666666668,25.5,23.0,72.5,3
sneakers,2024-04-01,2024Q2,2024,2,20.5,21.5,19.5,61.5,3
sneakers,2024-07-01,2024Q3,2024,3,21.166666666666668,22.5,19.5,63.5,3
sneakers,2024-10-01,2024Q4,2024,4,22.166666666666668,24.0,19.5,66.5,3
sneakers,2025-01-01,2025Q1,2025,1,19.833333333333332,20.5,19.0,59.5,3
sneakers,2025-04-01,2025Q2,2025,2,19.5,20.0,19.0,58.5,3
sneakers,2025-07-01,2025Q3,2025,3,21.0,22.5,20.0,63.0,3
sneakers,2025-10-01,2025Q4,2025,4,19.0,19.0,19.0,19.0,1
heels,2020-01-01,2020Q1,2020,1,23.833333333333332,25.5,20.5,71.5,3
heels,2020-04-01,2020Q2,2020,2,19.166666666666668,20.0,17.5,57.5,3
heels,2020-07-01,2020Q3,2020,3,21.333333333333332,22.0,20.5,64.0,3
heels,2020-10-01,2020Q4,2020,4,21.666666666666668,22.5,20.5,65.0,3
heels,2021-01-01,2021Q1,2021,1,23.0,24.0,22.0,69.0,3
heels,2021-04-01,2021Q2,2021,2,27.0,28.0,26.0,81.0,3
heels,2021-07-01,2021Q3,2021,3,31.166666666666668,32.5,30.0,93.5,3
heels,2021-10-01,2021Q4,2021,4,30.666666666666668,31.0,30.0,92.0,3
heels,2022-01-01,2022Q1,2022,1,31.666666666666668,34.5,29.0,95.0,3
heels,2022-04-01,2022Q2,2022,2,33.833333333333336,36.5,29.0,101.5,3
heels,2022-07-01,2022Q3,2022,3,27.833333333333332,29.0,27.0,83.5,3
heels,2022-10-01,2022Q4,2022,4,26.0,26.5,25.5,78.0,3
heels,2023-01-01,2023Q1,2023,1,27.5,28.5,27.0,82.5,3
heels,2023-04-01,2023Q2,2023,2,27.833333333333332,29.5,26.0,83.5,3
heels,2023-07-01,2023Q3,2023,3,26.666666666666668,27.5,26.0,80.0,3
heels,2023-10-01,2023Q4,2023,4,27.0,27.5,26.5,81.0,3
heels,2024-01-01,2024Q1,2024,1,30.833333333333332,33.0,28.5,92.5,3
heels,2024-04-01,2024Q2,2024,2,31.0,31.5,30.0,93.0,3
heels,2024-07-01,2024Q3,2024,3,31.166666666666668,34.0,29.0,93.5,3
heels,2024-10-01,2024Q4,2024,4,31.666666666666668,33.5,29.5,95.0,3
heels,2025-01-01,2025Q1,2025,1,33.0,35.5,31.5,99.0,3
heels,2025-04-01,2025Q2,2025,2,35.5,36.0,35.0,106.5,3
heels,2025-07-01,2025Q3,2025,3,41.833333333333336,50.5,36.5,125.5,3
heels,2025-10-01,2025Q4,2025,4,33.0,33.0,33.0,33.0,1
loafers,2020-01-01,2020Q1,2020,1,31.666666666666668,36.0,25.0,95.0,3
loafers,2020-04-01,2020Q2,2020,2,22.666666666666668,24.0,21.0,68.0,3
loafers,2020-07-01,2020Q3,2020,3,28.666666666666668,30.0,28.0,86.0,3
loafers,2020-10-01,2020Q4,2020,4,30.0,31.0,29.0,90.0,3
loafers,2021-01-01,2021Q1,2021,1,29.0,33.0,27.0,87.0,3
loafers,2021-04-01,2021Q2,2021,2,34.0,34.0,34.0,102.0,3
loafers,2021-07-01,2021Q3,2021,3,42.0,49.0,35.0,126.0,3
loafers,2021-10-01,2021Q4,2021,4,47.0,49.0,46.0,141.0,3
loafers,2022-01-01,2022Q1,2022,1,44.333333333333336,49.0,40.0,133.0,3
loafers,2022-04-01,2022Q2,2022,2,51.0,54.0,47.0,153.0,3
loafers,2022-07-01,2022Q3,2022,3,57.333333333333336,65.0,51.0,172.0,3
loafers,2022-10-01,2022Q4,2022,4,55.666666666666664,63.0,50.0,167.0,3
loafers,2023-01-01,2023Q1,2023,1,50.0,51.0,49.0,150.0,3
loafers,2023-04-01,2023Q2,2023,2,57.333333333333336,59.0,54.0,172.0,3
loafers,2023-07-01,2023Q3,2023,3,58.666666666666664,66.0,51.0,176.0,3
loafers,2023-10-01,2023Q4,2023,4,63.0,68.0,59.0,189.0,3
loafers,2024-01-01,2024Q1,2024,1,58.666666666666664,65.0,54.0,176.0,3
loafers,2024-04-01,2024Q2,2024,2,66.0,69.0,60.0,198.0,3
loafers,2024-07-01,2024Q3,2024,3,68.33333333333333,80.0,60.0,205.0,3
loafers,2024-10-01,2024Q4,2024,4,76.0,78.0,74.0,228.0,3
loafers,2025-01-01,2025Q1,2025,1,73.66666666666667,81.0,70.0,221.0,3
loafers,2025-04-01,2025Q2,2025,2,78.33333333333333,81.0,74.0,235.0,3
loafers,2025-07-01,2025Q3,2025,3,90.66666666666667,100.0,76.0,272.0,3
