label,year,yearly_mean,yearly_max,yearly_min,yearly_sum,n_points
t-shirt,2004,86.91666666666667,99.0,75.0,1043.0,12
t-shirt,2005,83.83333333333333,100.0,68.0,1006.0,12
t-shirt,2006,75.0,89.0,65.0,900.0,12
t-shirt,2007,66.66666666666667,77.0,57.0,800.0,12
t-shirt,2008,63.583333333333336,72.0,55.0,763.0,12
t-shirt,2009,56.916666666666664,65.0,51.0,683.0,12
t-shirt,2010,49.75,62.0,42.0,597.0,12
t-shirt,2011,41.833333333333336,48.0,38.0,502.0,12
t-shirt,2012,39.916666666666664,47.0,34.0,479.0,12
t-shirt,2013,32.916666666666664,38.0,28.0,395.0,12
t-shirt,2014,30.0,35.0,26.0,360.0,12
t-shirt,2015,27.083333333333332,32.0,23.0,325.0,12
t-shirt,2016,26.166666666666668,31.0,22.0,314.0,12
t-shirt,2017,25.583333333333332,31.0,21.0,307.0,12
t-shirt,2018,25.25,30.0,21.0,303.0,12
t-shirt,2019,24.416666666666668,30.0,19.0,293.0,12
t-shirt,2020,26.333333333333332,35.0,19.0,316.0,12
t-shirt,2021,29.333333333333332,35.0,22.0,352.0,12
t-shirt,2022,34.833333333333336,43.0,27.0,418.0,12
t-shirt,2023,34.916666666666664,44.0,28.0,419.0,12
t-shirt,2024,37.666666666666664,46.0,28.0,452.0,12
t-shirt,2025,42.1,56.0,31.0,421.0,10
shirt,2004,27.916666666666668,31.0,23.0,335.0,12
shirt,2005,29.333333333333332,32.0,25.0,352.0,12
shirt,2006,28.75,33.0,25.0,345.0,12
shirt,2007,27.833333333333332,31.0,22.0,334.0,12
shirt,2008,29.416666666666668,33.0,25.0,353.0,12
shirt,2009,30.583333333333332,34.0,26.0,367.0,12
shirt,2010,32.5,38.0,27.0,390.0,12
shirt,2011,34.083333333333336,38.0,29.0,409.0,12
shirt,2012,39.666666666666664,45.0,32.0,476.0,12
shirt,2013,41.75,48.0,34.0,501.0,12
shirt,2014,45.5,52.0,39.0,546.0,12
shirt,2015,48.416666666666664,54.0,40.0,581.0,12
shirt,2016,54.333333333333336,61.0,44.0,652.0,12
shirt,2017,59.75,67.0,50.0,717.0,12
shirt,2018,62.083333333333336,72.0,51.0,745.0,12
shirt,2019,63.25,72.0,51.0,759.0,12
shirt,2020,60.166666666666664,71.0,46.0,722.0,12
shirt,2021,64.91666666666667,76.0,50.0,779.0,12
shirt,2022,70.08333333333333,83.0,55.0,841.0,12
shirt,2023,72.66666666666667,85.0,60.0,872.0,12
shirt,2024,76.75,88.0,62.0,921.0,12
shirt,2025,82.6,100.0,62.0,826.0,10
hoodie,2004,2.0833333333333335,4.0,1.0,25.0,12
hoodie,2005,2.0833333333333335,4.0,1.0,25.0,12
hoodie,2006,2.0,3.0,1.0,24.0,12
hoodie,2007,1.8333333333333333,3.0,1.0,22.0,12
hoodie,2008,2.0,4.0,1.0,24.0,12
hoodie,2009,2.0,4.0,1.0,24.0,12
hoodie,2010,2.5833333333333335,5.0,1.0,31.0,12
hoodie,2011,2.6666666666666665,5.0,1.0,32.0,12
hoodie,2012,3.5,7.0,2.0,42.0,12
hoodie,2013,4.5,9.0,2.0,54.0,12
hoodie,2014,5.0,10.0,3.0,60.0,12
hoodie,2015,5.5,11.0,3.0,66.0,12
hoodie,2016,6.833333333333333,14.0,4.0,82.0,12
hoodie,2017,8.25,18.0,4.0,99.0,12
hoodie,2018,8.416666666666666,16.0,4.0,101.0,12
hoodie,2019,8.916666666666666,16.0,4.0,107.0,12
hoodie,2020,8.75,16.0,5.0,105.0,12
hoodie,2021,9.416666666666666,16.0,5.0,113.0,12
hoodie,2022,9.416666666666666,16.0,5.0,113.0,12
hoodie,2023,9.583333333333334,17.0,5.0,115.0,12
hoodie,2024,9.916666666666666,18.0,5.0,119.0,12
hoodie,2025,9.1,14.0,5.0,91.0,10
sweatshirt,2004,6.541666666666667,16.5,3.0,78.5,12
sweatshirt,2005,6.25,15.5,3.0,75.0,12
sweatshirt,2006,6.083333333333333,15.0,2.5,73.0,12
sweatshirt,2007,5.333333333333333,13.5,2.5,64.0,12
sweatshirt,2008,4.875,11.5,2.5,58.5,12
sweatshirt,2009,4.791666666666667,12.0,2.5,57.5,12
sweatshirt,2010,5.166666666666667,13.0,2.5,62.0,12
sweatshirt,2011,8.5,16.5,5.5,102.0,12
sweatshirt,2012,10.416666666666666,19.0,6.0,125.0,12
sweatshirt,2013,12.25,21.5,6.5,147.0,12
sweatshirt,2014,11.916666666666666,22.5,6.5,143.0,12
sweatshirt,2015,12.375,23.0,7.0,148.5,12
sweatshirt,2016,16.166666666666668,30.0,10.5,194.0,12
sweatshirt,2017,18.208333333333332,36.5,10.0,218.5,12
sweatshirt,2018,21.291666666666668,40.5,11.0,255.5,12
sweatshirt,2019,22.833333333333332,43.0,13.0,274.0,12
sweatshirt,2020,27.25,46.0,17.5,327.0,12
sweatshirt,2021,28.625,49.0,14.0,343.5,12
sweatshirt,2022,28.791666666666668,48.0,14.5,345.5,12
sweatshirt,2023,29.666666666666668,53.0,15.5,356.0,12
sweatshirt,2024,29.333333333333332,56.5,15.0,352.0,12
sweatshirt,2025,26.7,39.0,15.5,267.0,10
sweater,2004,9.25,15.0,5.0,111.0,12
sweater,2005,9.5,15.0,6.0,114.0,12
sweater,2006,9.166666666666666,15.0,5.0,110.0,12
sweater,2007,9.0,17.0,5.0,108.0,12
sweater,2008,9.666666666666666,18.0,5.0,116.0,12
sweater,2009,9.333333333333334,17.0,5.0,112.0,12
sweater,2010,9.75,18.0,5.0,117.0,12
sweater,2011,10.916666666666666,18.0,7.0,131.0,12
sweater,2012,13.166666666666666,21.0,8.0,158.0,12
sweater,2013,15.333333333333334,26.0,10.0,184.0,12
sweater,2014,16.666666666666668,29.0,11.0,200.0,12
sweater,2015,16.25,29.0,10.0,195.0,12
sweater,2016,17.916666666666668,32.0,12.0,215.0,12
sweater,2017,19.916666666666668,38.0,12.0,239.0,12
sweater,2018,21.333333333333332,39.0,13.0,256.0,12
sweater,2019,21.083333333333332,35.0,15.0,253.0,12
sweater,2020,21.166666666666668,35.0,16.0,254.0,12
sweater,2021,22.75,38.0,18.0,273.0,12
sweater,2022,21.666666666666668,35.0,17.0,260.0,12
sweater,2023,21.083333333333332,34.0,17.0,253.0,12
sweater,2024,22.666666666666668,39.0,18.0,272.0,12
sweater,2025,20.7,27.0,18.0,207.0,10
jeans,2004,1.0,1.0,1.0,12.0,12
jeans,2005,1.0,1.0,1.0,12.0,12
jeans,2006,1.0,1.0,1.0,12.0,12
jeans,2007,1.0,1.0,1.0,12.0,12
jeans,2008,1.0,1.0,1.0,12.0,12
jeans,2009,1.0,1.0,1.0,12.0,12
jeans,2010,1.0,1.0,1.0,12.0,12
jeans,2011,1.0,1.0,1.0,12.0,12
jeans,2012,1.0,1.0,1.0,12.0,12
jeans,2013,1.0,1.0,1.0,12.0,12
jeans,2014,1.0,1.0,1.0,12.0,12
jeans,2015,1.0,1.0,1.0,12.0,12
jeans,2016,1.0,1.0,1.0,12.0,12
jeans,2017,1.3333333333333333,2.0,1.0,16.0,12
jeans,2018,1.1666666666666667,2.0,1.0,14.0,12
jeans,2019,1.0833333333333333,2.0,1.0,13.0,12
jeans,2020,1.0,1.0,1.0,12.0,12
jeans,2021,1.5,2.0,1.0,18.0,12
jeans,2022,1.5833333333333333,2.0,1.0,19.0,12
jeans,2023,2.0,2.0,2.0,24.0,12
jeans,2024,2.0,2.0,2.0,24.0,12
jeans,2025,2.4,3.0,2.0,24.0,10
cargo pants,2004,17.625,20.0,15.0,211.5,12
cargo pants,2005,18.666666666666668,20.5,16.0,224.0,12
cargo pants,2006,18.708333333333332,21.5,14.0,224.5,12
cargo pants,2007,18.041666666666668,21.5,15.0,216.5,12
cargo pants,2008,18.416666666666668,21.5,15.0,221.0,12
cargo pants,2009,18.875,22.0,16.0,226.5,12
cargo pants,2010,21.541666666666668,25.5,16.0,258.5,12
cargo pants,2011,21.166666666666668,23.5,18.0,254.0,12
cargo pants,2012,22.041666666666668,25.0,18.0,264.5,12
cargo pants,2013,22.208333333333332,24.0,17.5,266.5,12
cargo pants,2014,21.833333333333332,27.0,17.5,262.0,12
cargo pants,2015,21.083333333333332,23.0,16.5,253.0,12
cargo pants,2016,20.75,22.5,17.0,249.0,12
cargo pants,2017,21.333333333333332,23.5,19.0,256.0,12
cargo pants,2018,24.208333333333332,33.0,20.0,290.5,12
cargo pants,2019,26.25,29.0,23.0,315.0,12
cargo pants,2020,30.166666666666668,36.5,24.5,362.0,12
cargo pants,2021,37.708333333333336,43.0,32.0,452.5,12
cargo pants,2022,60.166666666666664,75.0,44.0,722.0,12
cargo pants,2023,69.875,75.0,63.0,838.5,12
cargo pants,2024,59.708333333333336,66.0,52.0,716.5,12
cargo pants,2025,52.2,57.5,47.0,522.0,10
pants,2004,19.708333333333332,23.5,17.5,236.5,12
pants,2005,22.666666666666668,26.0,20.5,272.0,12
pants,2006,19.708333333333332,22.5,18.5,236.5,12
pants,2007,18.916666666666668,22.5,17.5,227.0,12
pants,2008,21.625,29.5,17.5,259.5,12
pants,2009,21.75,25.5,19.5,261.0,12
pants,2010,23.958333333333332,41.5,20.0,287.5,12
pants,2011,22.625,27.5,20.5,271.5,12
pants,2012,26.041666666666668,30.0,24.0,312.5,12
pants,2013,29.5,33.5,26.5,354.0,12
pants,2014,31.5,35.5,29.0,378.0,12
pants,2015,31.875,35.5,29.5,382.5,12
pants,2016,32.708333333333336,36.5,30.0,392.5,12
pants,2017,35.083333333333336,41.0,31.5,421.0,12
pants,2018,36.375,40.5,34.0,436.5,12
pants,2019,38.0,44.5,35.0,456.0,12
pants,2020,36.416666666666664,44.5,30.0,437.0,12
pants,2021,41.416666666666664,50.0,37.5,497.0,12
pants,2022,45.0,50.0,42.0,540.0,12
pants,2023,46.916666666666664,53.5,43.5,563.0,12
pants,2024,49.166666666666664,56.5,43.5,590.0,12
pants,2025,53.05,60.0,49.0,530.5,10
shorts,2004,15.416666666666666,20.0,11.0,185.0,12
shorts,2005,16.333333333333332,23.0,12.0,196.0,12
shorts,2006,17.416666666666668,27.0,12.0,209.0,12
shorts,2007,16.333333333333332,23.0,11.0,196.0,12
shorts,2008,16.416666666666668,23.0,12.0,197.0,12
shorts,2009,18.75,26.0,13.0,225.0,12
shorts,2010,19.75,28.0,14.0,237.0,12
shorts,2011,21.583333333333332,30.0,15.0,259.0,12
shorts,2012,27.916666666666668,39.0,18.0,335.0,12
shorts,2013,31.25,46.0,21.0,375.0,12
shorts,2014,31.25,45.0,22.0,375.0,12
shorts,2015,31.083333333333332,45.0,22.0,373.0,12
shorts,2016,32.333333333333336,47.0,22.0,388.0,12
shorts,2017,34.416666666666664,52.0,23.0,413.0,12
shorts,2018,36.75,58.0,24.0,441.0,12
shorts,2019,37.25,57.0,26.0,447.0,12
shorts,2020,44.583333333333336,79.0,28.0,535.0,12
shorts,2021,47.333333333333336,74.0,28.0,568.0,12
shorts,2022,50.416666666666664,74.0,33.0,605.0,12
shorts,2023,59.166666666666664,91.0,42.0,710.0,12
shorts,2024,63.416666666666664,90.0,45.0,761.0,12
shorts,2025,76.6,100.0,50.0,766.0,10
skirt,2004,38.666666666666664,44.0,35.0,464.0,12
skirt,2005,40.833333333333336,45.0,36.0,490.0,12
skirt,2006,36.666666666666664,43.0,34.0,440.0,12
skirt,2007,32.083333333333336,35.0,30.0,385.0,12
skirt,2008,33.75,38.0,31.0,405.0,12
skirt,2009,35.333333333333336,38.0,31.0,424.0,12
skirt,2010,37.916666666666664,41.0,34.0,455.0,12
skirt,2011,40.75,47.0,35.0,489.0,12
skirt,2012,50.5,56.0,42.0,606.0,12
skirt,2013,58.25,62.0,51.0,699.0,12
skirt,2014,64.75,69.0,55.0,777.0,12
skirt,2015,64.0,68.0,59.0,768.0,12
skirt,2016,63.833333333333336,70.0,59.0,766.0,12
skirt,2017,65.58333333333333,73.0,58.0,787.0,12
skirt,2018,65.0,71.0,57.0,780.0,12
skirt,2019,65.41666666666667,75.0,59.0,785.0,12
skirt,2020,57.833333333333336,67.0,45.0,694.0,12
skirt,2021,63.25,75.0,50.0,759.0,12
skirt,2022,67.58333333333333,75.0,58.0,811.0,12
skirt,2023,73.41666666666667,82.0,63.0,881.0,12
skirt,2024,83.91666666666667,94.0,67.0,1007.0,12
skirt,2025,89.0,100.0,73.0,890.0,10
dress,2004,16.916666666666668,18.5,15.0,203.0,12
dress,2005,19.541666666666668,21.5,18.0,234.5,12
dress,2006,22.0,24.0,20.5,264.0,12
dress,2007,24.916666666666668,26.5,22.0,299.0,12
dress,2008,28.625,31.0,26.5,343.5,12
dress,2009,31.708333333333332,35.0,30.0,380.5,12
dress,2010,32.458333333333336,35.0,29.0,389.5,12
dress,2011,31.125,37.5,29.0,373.5,12
dress,2012,31.791666666666668,33.5,29.0,381.5,12
dress,2013,31.083333333333332,33.0,29.5,373.0,12
dress,2014,33.208333333333336,36.0,31.0,398.5,12
dress,2015,35.458333333333336,51.5,31.5,425.5,12
dress,2016,35.125,38.5,33.0,421.5,12
dress,2017,34.916666666666664,37.0,33.0,419.0,12
