label,timeframe,geo,period_start,period_label,year,trend_mean,trend_max,trend_min,trend_sum,n_points,query_count
sneakers,today 5-y,,2020-01-01,2020,2020,60.4,69.0,51.0,604.0,10,1
sneakers,today 5-y,,2021-01-01,2021,2021,65.6923076923077,81.0,54.0,3416.0,52,1
sneakers,today 5-y,,2022-01-01,2022,2022,73.26923076923077,89.0,59.0,3810.0,52,1
sneakers,today 5-y,,2023-01-01,2023,2023,73.32075471698113,84.0,65.0,3886.0,53,1
sneakers,today 5-y,,2024-01-01,2024,2024,72.98076923076923,97.0,62.0,3795.0,52,1
sneakers,today 5-y,,2025-01-01,2025,2025,78.65116279069767,100.0,62.0,3382.0,43,1
jeans,today 5-y,,2020-01-01,2020,2020,73.1,81.0,64.0,731.0,10,1
jeans,today 5-y,,2021-01-01,2021,2021,71.78846153846153,86.0,63.0,3733.0,52,1
jeans,today 5-y,,2022-01-01,2022,2022,71.28846153846153,86.0,61.0,3707.0,52,1
jeans,today 5-y,,2023-01-01,2023,2023,73.83018867924528,90.0,61.0,3913.0,53,1
jeans,today 5-y,,2024-01-01,2024,2024,75.78846153846153,100.0,63.0,3941.0,52,1
jeans,today 5-y,,2025-01-01,2025,2025,81.18604651162791,97.0,67.0,3491.0,43,1
