canonical_label,label_type,category,keyword,month,interest,metadata_json
puffer jacket,clothing,outerwear,puffer jacket,2010-01-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-02-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-03-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-04-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-05-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-06-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-07-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-08-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-09-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-10-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-11-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2010-12-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-01-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-02-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-03-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-04-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-05-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-06-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-07-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-08-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-09-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-10-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-11-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2011-12-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-01-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-02-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-03-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-04-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-05-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-06-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-07-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-08-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-09-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-10-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-11-01,4.0,
puffer jacket,clothing,outerwear,puffer jacket,2012-12-01,4.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-01-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-02-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-03-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-04-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-05-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-06-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-07-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-08-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-09-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-10-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-11-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2013-12-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-01-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-02-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-03-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-04-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-05-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-06-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-07-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-08-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-09-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-10-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-11-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2014-12-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-01-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-02-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-03-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-04-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-05-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-06-01,0.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-07-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-08-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-09-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-10-01,4.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-11-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2015-12-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-01-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-02-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-03-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-04-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-05-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-06-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-07-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-08-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-09-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-10-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-11-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2016-12-01,14.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-01-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-02-01,4.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-03-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-04-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-05-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-06-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-07-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-08-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-09-01,4.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-10-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-11-01,18.0,
puffer jacket,clothing,outerwear,puffer jacket,2017-12-01,21.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-01-01,14.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-02-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-03-01,6.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-04-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-05-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-06-01,1.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-07-01,2.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-08-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-09-01,6.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-10-01,16.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-11-01,31.0,
puffer jacket,clothing,outerwear,puffer jacket,2018-12-01,32.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-01-01,21.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-02-01,16.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-03-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-04-01,4.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-05-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-06-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-07-01,3.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-08-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-09-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-10-01,19.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-11-01,41.0,
puffer jacket,clothing,outerwear,puffer jacket,2019-12-01,46.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-01-01,23.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-02-01,16.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-03-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-04-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-05-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-06-01,4.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-07-01,5.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-08-01,6.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-09-01,13.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-10-01,23.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-11-01,39.0,
puffer jacket,clothing,outerwear,puffer jacket,2020-12-01,50.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-01-01,39.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-02-01,29.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-03-01,13.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-04-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-05-01,6.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-06-01,6.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-07-01,6.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-08-01,9.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-09-01,15.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-10-01,32.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-11-01,84.0,
puffer jacket,clothing,outerwear,puffer jacket,2021-12-01,77.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-01-01,64.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-02-01,36.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-03-01,19.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-04-01,12.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-05-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-06-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-07-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-08-01,12.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-09-01,20.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-10-01,46.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-11-01,87.0,
puffer jacket,clothing,outerwear,puffer jacket,2022-12-01,93.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-01-01,49.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-02-01,36.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-03-01,26.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-04-01,13.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-05-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-06-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-07-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-08-01,12.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-09-01,20.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-10-01,39.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-11-01,83.0,
puffer jacket,clothing,outerwear,puffer jacket,2023-12-01,80.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-01-01,62.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-02-01,29.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-03-01,18.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-04-01,11.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-05-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-06-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-07-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-08-01,14.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-09-01,22.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-10-01,37.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-11-01,75.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-12-01,100.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-01-01,66.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-02-01,35.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-03-01,19.0,
